,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
1127,6 Trees,forest,Habitat,territorial entity,instance of,6 Trees of a mountain habitat Fig
1128,Yak,organisms known by a particular common name,Snow leopard,taxon,subclass of,7 a Snow leopard b yak and c mountain goat are adapted to mountain habitats If you live in a mountain region or have visited one you may have seen a large number of such trees
1129,Tree,organisms known by a particular common name,Branch,plant structure,has parts of the class,But have you ever noticed such trees naturally growing in other regions How are these trees adapted to the conditions prevailing in their habitat These trees are normally cone shaped and have sloping branches
1130,Snow,precipitation,Rain,precipitation,subclass of,This helps the rainwater and snow to slide off easily
1131,Organism,anatomical entity,HARACTERISM,branch of science,studied by,There could be trees with shapes very different from these that are a b c 2022 23 85 THE LIVING ORGANISMS ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ C HARACTERISTICS AND HABITATSincluding feet an
1132,Foot,autopod region,Walking,intentional human action,use,This protects its feet from the cold when it walks on the snow
1133,Hoof,skin,Goat,organisms known by a particular common name,found in taxon,The mountain goat has strong hooves for running up the rocky slopes of the mountains
1135,Deer,taxon,Lion,taxon,parent taxon,Look at the picture of a lion and that of a deer Fig
1136,Toe,digit,Leg,anatomical structure,part of,How are the eyes placed in the face for these two animals Are they in the front or on the side of the face Lions have long claws in their front legs that can be withdrawn inside the toes
1137,Hunting,activity,Hide and seek,behavior,uses,Do the features of a lion help it in any way tosurvive Itﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽs light brown colour helps it to hide in dry grasslands when it hunts for prey animals t
1138,Eye,anatomical structure,Visual perception,biological process,use,The eyes in front of the face allow it to have a correct idea about the location of its prey
1139,Forest,biome,Grassland,territorial entity,subclass of,A deer is another animal that lives in forests and grasslands
1140,Tooth,organ,Chewing,activity,use,It has strong teeth for chewing hard plant stems of the forest
1141,Predator,predator,Animal,taxon,subclass of,A deer needs to know about the presence of predators animals like lion that make it their prey in order to run away from them and not become their prey
1142,Long ears,anatomical structure,Hearing,perception,use,It has long ears to hear movements of predators
1143,Eye,anatomical structure,Head,cardinal body part,part of,The eyes on the side of its head allow it to look in all directions for danger
1144,Run away,flight,Flight,flight,subclass of,The speed of the deer helps them to run away from the predators
1145,Fish,taxon,Sea,geographic location,located in or next to body of water,Some Aquatic Habitats Oceans We alr eady discussed how fish ar e adapted to live in the sea
1146,Water,None,Sea,geographic location,part of,Many other sea animals have streamlined bodies to help them move easily in water
1147,Octopus,taxon,Sea animal,animal,subclass of,Ther e are some sea animals like squids and octopus which do not have this streamlined shape
1148,Seabed,coast,Ocean,body of water,part of,They stay deeper in the ocean near the seabed and catch any prey that moves towards them
1149,Gill,organ,Animal,taxon,part of,These animals have gills to help them use oxygen dissolved in water
1150,Whale,organisms known by a particular common name,Sea animal,animal,subclass of,There are some sea animals like dolphins and whales that do not have Fig
1151,Air,None,Breathing,biological process,part of,This allows them to breathe in air when they swim near the sur face of water
1154,Pond,lake,Lake,landform,subclass of,Did you ever see this inter esting activity of dolphins in television programme or films on ocean life Ponds and lakes Have you seen plants growing in ponds lakes rivers and even some drains Go on a field trip to a nearby pond if possible and try to observe the kinds of plants that are seen there
1155,Aquatic plant,plant,Plant,taxon,subclass of,However in aquatic plants r oots are much reduced in size and their main function is to hold the plant in place
1156,Flower,plant organ,Leaf,plant organ,part of,The stems grow up to the sur face of water while the leaves and flowers float on the sur face of water
1157,Bend (geology),natural geographic object,Water,None,part of,These can bend in the flowing water
1158,Frog,taxon,Pond,watercourse,uses,Frogs usually live in ponds
1160,Leg,cardinal body part,Back,cardinal body part,part of,They have strong back legs that help them in leaping and catching their prey
1161,Swimming,intentional human action,Water,None,uses,They have webbed feet which help them swim in water
1162,Habitat,territorial entity,Plant,taxon,different from,We have discussed only a few common animals and plants compared to the wide variety that live in dif ferent habitats
1164,Habitat,territorial entity,Plant,taxon,part of,4 C HARACTERISTICS OF ORGANISMS We went on a jour ney through dif ferent habitats and discussed many plants andFig
1165,Floating plant,aquatic plant,Aquatic plant,plant,subclass of,9 Some aquatic plants float on water
1167,Non-living,None,Living,phenomenon,opposite of,Which of these are living Think of objects that you can see around you at this moment and group them as living and non living
1168,Chair,furniture,Table (furniture),furniture,part of,For example we know that objects like chair or table are not alive
1169,Complete Nonsense,literary work,Edward Lear,human,author,Paheli was reading this rhyme from Complete Nonsense written by Edward Lear Paheli and Boojho found the poem very funny because they knew that a chair or a table is not alive and it cannot talk or walk
1170,Chair table stone,coin,Coin,archaeological artifact,subclass of,Chair table stone or a coin ar e not alive
1171,India,sovereign state,New Delhi,big city,capital,Similarly we do know that we are alive and so are all the people of the world
1173,Bus,motor vehicle,Car,motor vehicle,subclass of,On the other hand a car or a bus can move still we consider them as non living
1174,Animal,taxon,Animal size,physical quantity,has effect,Plants and animals appear to grow in size with time
1177,Life,phenomenon,Organism,anatomical entity,part of,Some of these characteristics are perhaps common to all living things
1178,Said the Table to the Chair,literary work,Chair,furniture,characters,Said the Table to the Chair ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽYou can hardly be aware ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽHow I suffer from the heat ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽAnd from chilblains on my feet ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽIf we took a little walk ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽWe might have a little talk ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽPray let us take the
1179,Chicken,chicken,Cock,organisms known by a particular common name,followed by,A chick hatched from an egg grows into a hen or a cock
1180,Plant,taxon,Plant growth,biological process,has effect,Plants also grow
1181,Type plant,plant,Plant,taxon,subclass of,Look around you and see a few plants of a particular type
1182,Young bird,bird,Bird,taxon,subclass of,Some are very small and young some are bigger
1183,Stage of growth,None,Growth,biological process,facet of,They may all be in different stages of growth
1184,New Zealand,sovereign state,Australasia,geographic region,part of,Y ou may find that some of them have grown in size
1185,Growth,biological process,Life,phenomenon,part of,Growth seems to be common to all living things
1186,Breathing,biological process,Respiration,biological process,part of,Breathing is part of a process called respiration
1187,Oxygen,chemical element,Air,None,part of,In respiration some of the oxygen of the air we breathe in is used by the body
1188,Carbon dioxide,None,Carbon,chemical element,has parts of the class,W e breathe out carbon dioxide produced in this process
1189,Cattle,organisms known by a particular common name,Breathing,biological process,this taxon is source of,The process of breathing in animals like cows buffaloes dogs or cats is similar to humans
1190,Abdomen,tagma,Animal,taxon,part of,Observe any one of these animals while they are taking rest and notice the movement of their abdomen
1192,Animal,taxon,Organism,anatomical entity,subclass of,Do all organisms need food In Chapters 1 and 2 we learnt that all living things need food and how essential it is to animals and to us
1193,Photosynthesis,biological process,Food,disposable product,has effect,W e have also learnt that plants make their own food by the process of photosynthesis
1194,Energy,physical quantity,Food,disposable product,part of,Food gives organisms the energy needed for them to grow
1195,Organism,anatomical entity,Energy,physical quantity,uses,Organisms also need energy for other life processes that go on inside them
1196,Hinduism,religion,Islam,religion,subclass of,Do all organisms show growth Does the kurta you had four years back still fit you Y ou cannot wear it any more isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it Y ou must have gr own taller during these
1197,Adult,organism,Growth,biological process,instance of,Y ou may not realise it but you are growing all the time and in few more years you will become an adult
1198,Young animal,animal,Animal,taxon,subclass of,Young ones of animals also gr ow into adults
1199,Adult,organism,Child,human,opposite of,10 A baby grows into an adultFig
1200,Adult,organism,Organism,anatomical entity,subclass of,11 A chicken grows into an adult 2022 23 89 THE LIVING ORGANISMS ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ C HARACTERISTICS AND HABITATSRespiration is necessary for all living org
1202,Repiration,biological process,Biological process,process,instance of,Some animals may have different mechanisms for the exchange of gases which is a part of the respiration process
1203,Breathing,biological process,Skin,anatomical structure,uses,For example earthworms breathe through their skin
1204,Atmosphere of Earth,atmosphere,Oxygen,chemical element,made from material,The gills absorb oxygen fr om the air dissolved in water
1205,Air,None,Oxygen,chemical element,has parts of the class,The leaves take in air through tiny pores in them and use the oxygen
1206,Repiration,biological process,Respiration,biological process,different from,The amount of oxygen released in the process of food preparation by plants is much more than the oxygen they use in respiration
1207,Night,time of the day,Day,UCUM derived unit,part of,Respiration in plants takes place day and night
1208,Thorn,nonbiological component,Sharp object,nonbiological component,subclass of,Do all organisms respond to stimuli How do you respond if you suddenly step on a sharp object like a thorn while walking barefoot How do you feel when you see or think about your favourite food Y ou suddenly move fr om a dark place into bright sunlight
1209,Eye shut,shut down,Eye,anatomical structure,facet of,What happens Y our eyes shut themselves automatically for a moment till they adjust to the changed brightsurroundings
1210,Y our favourite food,food,Food,disposable product,instance of,Y our favourite food bright light and a thorn in the above situations are some examples of changes in your surroundings
1211,World War II,historical period,Middle East,geographic region,location,All of us respond immediately to such changes
1212,Stimulant,psychoactive drug,Attention,mental process,has effect,Changes in our surroundings that makes us respond to them are called stimuli
1213,Animal,taxon,Food,disposable product,uses,Do other animals also respond to stimuli Observe the behaviour of animals when food is served to them
1214,Bird,taxon,Wild animal,taxon,subclass of,Do you find them suddenly becoming active on seeing the food When you move towards a bird what does it do Wild animals run away when bright light is flashed towards them
1215,Light,electromagnetic wave,Night,time of the day,part of,Similarly cockroaches begin to move to their hiding places if the light in the kitchen is switched on at night
1216,Mimosa,taxon,Leaf,plant organ,has fruit type,In some plants like Mimosa commonly known as ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽtouch me notﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ leaves close or fold when someone 
1217,Plant,taxon,Plant science,academic discipline,studied by,These are some examples of responses of plants towards changes in their surroundings
1218,Window,architectural element,Room,architectural structure,part of,Activity 4 Place a potted plant in a room a little away from a window through which sunlight enters some time during the day Fig
1220,Pseudanthium,plant stem,Plant stem,plant structure,subclass of,Does the plant grow upright like plants out in the open Note the direction in which it bends if 2022 23 90 SCIENCEit is not growing upright
1221,Life,phenomenon,Stimulus (physiology),physical quantity,has cause,Do you think this may be in response to some stimulus All living things respond to changes around them
1222,Organism,anatomical entity,Food,disposable product,uses,Living organisms and excretion All organisms need food
1223,Eating,activity,Food,disposable product,uses,Not all the food that is eaten is completely used only a part of it is utilised by the body
1224,Wastes,medical term,Waste,material,subclass of,What happens to the rest This has to be removed from the body as wastes
1225,Wastes,chemical substance,Waste,material,subclass of,Our body produces some wastes in other life processes also
1226,Organism,anatomical entity,Excretion,biological process,uses,The process of getting rid of wastes by organisms is known as excretion
1227,Plant,taxon,Plant hormone,None,uses,The mechanisms in plants are a little different
1228,Plant,taxon,Waste,material,this taxon is source of,Some plants find it possible to store the waste products within their parts in a way that they do not harm the plant as a whole
1230,Excretion,biological process,Organism,anatomical entity,part of,Excretion is another characteristic common to all organisms
1231,Mode of reproduction,biological process,Animal reproduction,biological process,part of,The mode of reproduction may be different in different animals
1232,Egg,vegetable,Animal,taxon,produced by,Some animals produce their young ones through eggs
1233,Mother,kinship,Animal,taxon,part of,Some animals give birth to the young ones Fig
1234,Plant,taxon,Animal,taxon,different from,Like animals plants also differ in their mode of reproduction
1235,Plant,taxon,Seed,food,this taxon is source of,Plants produce seeds Fig
1236,Bird,taxon,Egg,vegetable,this taxon is source of,13 a Birds lay eggs which after hatching produce b young ones a b Fig
1237,Egg,vegetable,Bird,taxon,part of,Some of the eggs hatch and young birds come out of them Fig
1238,HABITATSL,None,HARACTERISTICS,branch of science,part of,14 Some animals which give birth to their young ones 2022 23 91 THE LIVING ORGANISMS ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ C HARACTERISTICS AND HABITATSLiving things produce more of their own kind through reprod
1239,Pla ce,body movement,Body movement,motion,instance of,They move from one pla ce to another and also show other body movements
1240,Bus,motor vehicle,Paper,intermediate product,made from material,A bus car a small piece of paper clouds and so on
1241,Death,biological process,Life,phenomenon,facet of,Y et another common characteristic is that living beings die
1242,Death,biological process,Survival,biological process,has effect,Because organisms die particular types of organisms can survive over thousands of years only if they reproduce their own kind
1243,Death,biological process,Reproduction,biological process,opposite of,One single organism may die without ever reproducing but the type of organism can exist only if there is reproduction
1244,Plant reproduction,biological process,Seed,food,different from,Some plants also reproduce through parts other than seeds
1245,Potato,taxon,Bud,plant organ,has fruit type,For example a part of a potato with a bud grows into a new plant Fig 9
1246,Cuttling,removal,Plant reproduction,biological process,part of,Plants also reproduce through cuttings
1247,Rose,taxon,Menhdi,taxon,subclass of,W ould you like to grow a plant in this way yourself Activity 5 Take a cutting from a rose or a menhdi plant
1248,Water,None,Soil,granular material,part of,Fix it in the soil and water it regularly
1249,Cutting (botany),removal,Plant,taxon,part of,What do you observe after a few days It may not be easy to grow plants from cuttings
1250,Gr ow,cutting,Cutting,manufacturing process,subclass of,Do not be disappointed if your cutting does not gr ow
1251,Bud,plant organ,Plant,taxon,part of,16 A new plant grows from a bud of potato 2022 23 92 SCIENCEn o i t a t p a d A t a t i b a h c i t a u q A t n e n o p m o c c i t o i B n o i t e r c x E h t w o r Gt a t i b a H g n i v i L n o i t c u d o r p e R n o i t a r i p s e R s u l u m i t SWe see that all living things seem to have some common characteristics
1252,Reproduction,biological process,Food,disposable product,has cause,They all need food respire respond to stimuli reproduce show movement grow and die
1253,Water,None,River,natural watercourse,part of,Do we find some non living things that also show some of these characteristics Cars bicycle clocks and the water in the river move
1254,Moon,natural satellite,Sun,G-type main-sequence star,parent astronomical body,The moon moves in the sky
1256,Life,phenomenon,Death,biological process,opposite of,Can such things be called living W e ask ourselves do these objects also show all the other characteristics of living things In general something that is living may have all the characteristics that we have discussed while non living things may not show all these characteristics at the same time
1257,Life,phenomenon,Non-living,concept,opposite of,Is this always true Do we always find that living things definitely show all the characteristics of the living that we have discussed Do we always find that non living things may show only some of these characteristics and never all of them To understand this a little better let us look at a specific example
1258,Moong,taxon,Seed,food,subclass of,Consider any seed say moong
1259,Is it living,None,Life,phenomenon,facet of,Is it living It canstay in a shop for months and not show any growth or some of the other characteristics of life
1260,Reproduction,biological process,Growth,biological process,has effect,Did the seed ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ need food did it excrete grow or reproduce when it was in the shop for many months We see that ther e can be cases when we cannot easily say that a thing has all the characteristics that we have discussed for it to be called 
1261,Life,phenomenon,Wheat,food,made from material,ﾃδεつｽﾃδεつｽﾃδεつｽWhat then is life ﾃδεつｽﾃδεつｽﾃδεつｽ Push y our hand deep inside a sack of wheat
1262,Wheat,food,Heat,physical quantity,subclass of,Do you find it is warm inside There is some heat being produced inside the sack of wheat
1263,Respiration,biological process,Heat,physical quantity,followed by,The seeds respire and in that process give out some heat
1264,R espiration,biological process,Pr ocess,biological process,subclass of,We see that r espiration is a pr ocess that takes place in seeds even when some of the other life processes may not be very active
1265,Habitat,territorial entity,Adaptation,biological process,use, square6 square6 square6 square6 square6The presence of specific features and habits which enable a plant or an animal to live in a particular habitat is called adaptation
1266,Aquatic habitat,habitat,Habitat,territorial entity,subclass of, square6 square6 square6 square6 square6There are many types of habitats however these may be br oadly gr ouped as terrestrial on the land and aquatic in water 
1267,Plant,taxon,Biote,taxon,subclass of, square6 square6 square6 square6 square6Plants animals and microorganisms together constitute biotic components
1268,Atmosphere of Earth,atmosphere,Soil,granular material,made from material, square6 square6 square6 square6 square6Rocks soil air water light and temperatur e are some of the abiotic components of our surroundings
1270,What is a habitat 2,habitat,Habitat,territorial entity,instance of,What is a habitat 2
1271,Habitat,territorial entity,Animal,taxon,part of,Fill up the blanks a The presence of specific features which enable a plant or an animal to live in a particular habitat is called
1274,Sewing machine,machine,Machine,device,subclass of,Which of the things in the following list are nonliving Plough Mushr oom Sewing machine Radio Boat W ater hyacinth Earthwor m 5
1275,W ool,light bulb,Light bulb,bulb,subclass of,Which of the non living things listed below were once part of a living thing Butter Leather Soil W ool Electric bulb Cooking oil Salt Apple Rubber 7
1276,Life,phenomenon,Phenomenon,quality,has quality,List the common characteristics of the living things
1277,Animal,taxon,Speed,physical quantity,uses,Explain why speed is important for survival in the grasslands for animals that live there
1278,Magazine,organization,Newspaper,business,subclass of,Many magazines and newspapers talk about possibility of life outside the Earth
1279,Earth,inner planet,Life outside Earth,extraterrestrial life,manifestation of,Read these articles and have a discussion in the class about what could be defined as life outside Earth
1280,Zoo,tourist attraction,Habitat,territorial entity,subclass of,Visit a local zoo and find out what special arrangements are made for the animals that have been brought there from different habitats
1281,Polar bear,taxon,Habitat,territorial entity,instance of,Find out where are the habitats of the polar bear and the penguin
1282,Himalayas,mountain range,Hill range,landform,instance of,Find out which animals live in the foot hills of the Himalayas
1283,Habitat album,album,Album,musical term,subclass of,Make a habitat album
1284,Leaf,plant organ,Tree,organisms known by a particular common name,part of,Draw the leaf shapes and structures for trees found in these different regions and include these in the album
1285,Branching tree,tree,Tree (graph theory),forest,subclass of,In addition draw the patterns of branching found in trees of these different regions and include these also in the album
1286,Train,mode of transport,Bus,motor vehicle,followed by,Someone had gone to their native village by a train then a bus and finally a bullock cart
1287,Aircraft,mode of transport,Travel,occurrence,use,One student had travelled by an aeroplane
1288,Mars,superior planet,Soil,granular material,made from material,The teacher then asked them to read newspaper articles that mentioned about small wheeled vehicles that moved on the soil of Mars and conducted experiments
1289,Earth,inner planet,Mars,superior planet,child astronomical body,These vehicles were taken by spacecraft all the way to Mars Meanwhile Paheli had been reading stories about ancient India and wanted to know how people travelled from one place to another in earlier times
1291,Foot,organisms known by a particular common name,Carrying,activity,use,They used to move only on foot and carry goods on their back
1292,Animal,taxon,Transport,motion,use,Later on they began to use animals for transportation
1293,Boat,watercraft,Transport,motion,use,For transport thr ough water routes boats were used from ancient times
1294,Log,artificial physical object,Wood,material,made from material,To begin with boats were simple logs of wood in which a hollow cavity could be made
1295,Boat,watercraft,Wood,material,made from material,Later people lear nt to put together different pieces of wood and give shapes to the boats
1296,Animal,taxon,Water,None,uses,These shapesimitated the shapes of the animals living in water
1297,Chapters 8,chapter,Chapters 9,chapter,followed by,Recall our discussions of this streamlined shape of fish in Chapters 8 and 9
1298,Wheel,simple machine,Mode of transport,class,instance of,Invention of the wheel made a great change in modes of transport
1299,Wheel,simple machine,Machine,device,subclass of,The design of the wheel was improved over thousands of years
1300,Steam engine,heat engine,Transport,motion,subclass of,The invention of steam engine led to the development of new means of transport
1301,Rail transport,industry,Railroad,thoroughfare,uses,Railroads were made for steam engine driven carriages and wagons
1302,Car,motor vehicle,Transport,motion,use,1 Some means of transportation 2022 23 96 SCIENCE automobiles such as motor cars trucks and buses
1303,Motorised boat,ship,Ship,ship type,subclass of,Motorised boats and ships were used as means of transport on water
1304,Aircraft,mode of transport,Aviation,academic discipline,use,The early years of 1900 saw the development of aeroplanes
1305,Passenger,agent,Goods,economic concept,subclass of,These were later improved to carry passengers and goods
1306,Electric rail,rail transport,Monorail,rail guided transport,subclass of,Electric trains monorail supersonic aeroplanes and spacecraft are some of the contributions of the 20th century
1310,How did people know how far they have travelled,None,Transport,motion,facet of,2 HOW WIDE IS THIS DESK How did people know how far they have travelled How will you know whether you can walk all the way to your school or whether you will need to take a bus or a rickshaw to reach your school When you need to purchase something is it possible for you to walk to the market How will you know the answers to these questions It is often important to know how far a place is so that we can have an idea how we are going to reach that place ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ walk take a bus or a train a ship an aeroplane or even a spacecraft Sometimes there are objects whose length or width we need t
1311,Desk,table,Classroom,architectural structure,part of,In Paheli and Boojho s classroom there are large desks which are to be shared by two students
1312,Gilli,danda,Danda (stuffed toy),stuffed toy,subclass of,Boojho brought a set of gilli and danda with him
1313,Danda,measuring instrument,Measuring instrument,tool,instance of,Here is how they tried to measure the length of the desk using the danda and the gilli Fig
1314,Danda length,unit of length,Length,physical quantity,measured physical quantity,The desk seems to be having a length equal to two danda lengths and two lengths of the gilli
1315,Danda,flatbread,Gilli,flatbread,said to be the same as,Drawing a line in the middle of the desk leaves each of them happy with a half of the desk equal to a danda and a gilli in length
1316,Canada,sovereign state,Quebec,administrative territorial entity of Canada,contains administrative territorial entity,After a few days the marked line gets wiped out
1317,Boojho,literary character,Gilli,literary character,has pet,Boojho now has a new set of gilli and danda as he lost his old one
1318,Gilli,unit of length,Length,physical quantity,measured physical quantity,Here is how the length of the desk seems to measure using the gilli and danda Fig
1319,Gilli,None,Danda,None,followed by,3 Measuring the length of the desk with a different set of gilli and dandaFig
1320,Desk length,length,Length,physical quantity,instance of,2 Measuring the length of a desk with gilli and danda 2022 23 97 MOTION AND MEASUREMENT OF DISTANCESHello Now when measured with the new set of gilli and danda the desk length seems to be about two danda lengths one gilli length with a small length still left out
1321,Wicket,sports equipment,Cricket,type of sport,sport,Now what What would you suggest Paheli and Boojho do to measure the length of the whole desk Can they use a cricket wicket and bails to measure the length or do you think that this might create the similar problem One thing they could do is to take a small length of string and mark two points on it
1322,String length,unit of length,Unit of length,unit of measurement,instance of,This will be a string length
1323,Length,physical quantity,String length,physical quantity,calculated from,They can measure the width of the desk in string lengths Fig
1324,String length,physical quantity,Length,physical quantity,calculated from,How can they use the string to measure distances less than the length of a string They can fold the string and mark it into 1 2 1 4 and 1 8 string lengths 
1325,Y es,pr oblem,Pr oblem,blem,instance of,You would say that they should use the scale in their geometry box and solve their pr oblem Y es Of course Boojho has been reading about the way people used to measure distancesbefore such standard scales were made and he has been trying to follow different methods of measuring distances
1326,Stitch (textile arts),motif,Tailor,profession,part of,The tailor needs to measure the length of the cloth to know if it is enough to stitch a kurta
1327,Carpentry,craft,Wood,material,uses,A carpenter needs to measure the height and width of a cupboard to know how much wood he would need to make its door
1328,Seed,food,Crop,Cultigen,subclass of,The farmer needs to know the length and breadth or the area of his land to know how much seed he can sow and how much water would be needed for his crops
1329,Heel,cardinal body part,Foot,autopod region,part of,Suppose you are asked how tall you are You want to tell the length of a straight line from the top of your head to the heel of your feet
1330,Delhi,city with millions of inhabitants,Lucknow,big city,shares border with,How long is this room How wide is this desk How far is it from Delhi to Lucknow How far away is the Moon from the Earth All these questions have one thing in common
1332,Jammu,city,Kanyakumari,human settlement,shares border with,The two places may be close enough like the two ends of a table or they may be far apart like Jammu and Kanyakumari
1333,MEASUREMENTS Activity 1,None,3 S OME MEASUREMENTS,None,part of,3 S OME MEASUREMENTS Activity 1 Work in gr oups and each of you do this activity one by one
1334,Foot,autopod region,Figurine,statue,use,Using your foot as a Fig
1335,SCIENCE unit of length,UCUM derived unit,Length,physical quantity,measured physical quantity,4 Measuring the length of the desk with string lengths 2022 23 98 SCIENCE unit of length measure the length and breadth of the classroom
1336,Foot,autopod region,Length,physical quantity, measured physical quantity,Use a string to measure the length of a part of your foot as you did before
1337,Table (furniture),furniture,Desk,table,subclass of,1 Measuring length and breadth of classroom f o e m a N t n e d u t se h t f o h t g n e L m o o r s s a l ce h t f o h t d i W m o o r s s a l c Activity 2 Work in a gr oup and each of you use your handspan as a unit to measure the width of a table or a desk in the classroom Fig
1338,Unit (unit),UCUM derived unit,Fixed quantity,physical quantity,measured physical quantity,This known fixed quantity is called a unit
1339,Part of measurement,measure,Measurement,estimation process,subclass of,The result of a measurement is expressed in two parts
1340,Unit of measurement,unit of measurement,Measurement,estimation process,part of,The other part is the unit of the measurement
1341,Length,physical quantity,Number,physical quantity,calculated from,For example if in Activity 1 the length of the room is found to be 12 lengths of your foot then 12 is the number and foot length is the unit selected for the measurement
1342,Handspan,length,Length,physical quantity,instance of,Are all the measurements for the room using everybody s foot equal Are everybody s measurement by handspan of the width of the table equal Perhaps the results could be different as the length of your handspan and that of your friends may not be the same
1343,Standar d,unit of measurement,Unit of measurement,measure,instance of,We see ther efore that some standar d units of measurement are needed that do not change from person to person
1344,Measurement,estimation process,Unknown quantity, quantity,uses,We see that measur ement means the comparison of an unknown quantityTable 10
1345, width,width,Measurement,estimation process,calculated from,2 Measuring width of a table e h t d e r u s a e m o h W e l b a t e h t f o h t d i wf o r e b m u N s n a p s d n a h 2022 23 99 MOTION AND MEASUREMENT OF DISTANCES10
1346,Foot,autopod,Length,physical quantity,measured physical quantity,4 STANDARD UNITS OF MEASUREMENTS In ancient times the length of a foot the width of a finger and the distance of a step were commonly used as different units of measurements
1347,Indus Valley Civilisation,archaeological culture,Archaeological culture,concept,instance of,The people of the Indus valley civilisation must have used very good measurements of length because we see evidence in excavations of per fectly geometrical constructions
1348,Cubit,UCUM derived unit,Ancient Egypt,historical region,time period,A cubit as the length from the elbow to the finger tips was used in ancient Egypt and was also accepted as a unit of length in other parts of the world
1350,ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽyardﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ of cloth,unit of measurement,Distance,physical quantity,measured physical quantity,People measured a ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽyardﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ of cloth by the distance between the end of the outstretched arm an
1351,Step,motion,Pace,motion,part of,The Romans measured with their pace or steps
1352,Angul finger,finger,Mutthi finger,finger,followed by,In ancient India small length measurements used were an angul finger or a mutthi fist 
1353,Garnish,symbol,Flower,plant organ,made from material,Even today we can see flower sellers using their forearm as a unit of length for garlands in many towns of India
1354,Length,physical quantity,Unit of length,physical quantity,instance of,Many such body parts continue to be in use as unit of length when convenient
1355,Size,definition,Body part,anatomical structure,instance of,However everyone s body parts could be of slightly different sizes
1356,Th,UCUM derived unit,Measurement,estimation process,instance of,Th is musthave caused confusion in measurement
1357,Metric system,system of units,Unit of measurement,system of units,instance of,In 1790 the French created a standard unit of measurement called the metric system
1358,Unit of measurement,measurement scale,System of units,system,part of,For the sake of uniformity scientists all over the world have accepted a set of standard units of measurement
1359,Scale (metre),metre,Metre,unit of length,subclass of,A metre scale is shown in Fig
1361,Centimetre,unit of length,Metre,unit of length,part of,Each metre m is divided into 100 equal divisions called centimetre cm 
1362,Metre,unit of length,Centimetre,unit of length,part of,Each centimetre has ten equal divisions called millimetre mm 
1363,W e,UCUM derived unit,Length,physical quantity,measured physical quantity,W e define a larger unit of length
1364,Metre,unit of length,Distance,physical quantity,part of,It is called kilometre km 
1365,ENGTH,ENGTH,Measurement,estimation process,subclass of,5 C ORRECT MEASUREMENT OF LENGTH In our daily life we use various types of measuring devices
1366,Metre,unit of length,Length,physical quantity,measured physical quantity,6 A metre scale and a 15 cm scale 2022 23 100 SCIENCEfor measuring length
1367,Measurement device,tool,Length,physical quantity,use,For measuring the length of an object you must choose a suitable device
1368,Tree,organisms known by a particular common name,Girth,physical quantity,said to be the same as,Y ou cannot measur e the girth of a tree or the size of your chest using a metre scale for instance
1369,Measuring tape,asuring instrument,Measurement,estimation process,use,Measuring tape is more suitable for this
1370,Centimetre,SI derived unit,Length,physical quantity,measured physical quantity,For small measurements such as the length of your pencil you can use a 15 cm scale from your geometry box
1371,Length,physical quantity,Measurement,estimation process,subclass of,In taking measurement of a length we need to take care of the following 1
